Title,Original title,ID,Language,Details,Genre IDs,Popularity,Release date,Review score,Number of reviews
Me Vuelves Loca,Me Vuelves Loca,1175306,es,"Carolina has a perfect life: she lives in a luxurious house, works in a fashion magazine and is married to a successful publicist. One day everything goes to waste: she discovers that she is sterile, the same day that her husband leaves her for her best friend, who, in addition, is pregnant with him. After the impact of this news, Carolina has a crisis, drinks too much, trips and falls from the second floor of her house, a fact that is interpreted as a suicide attempt.Carolina is interned against her will, in the exclusive psychiatric center Eden. In that place she will meet a group of ""madmen"" who will help her heal and glimpse that her previous life was not so perfect. He also discovers that perhaps the craziest are those outside the psychiatric hospital.",[35],49.778,2023-09-07,8.4,108
Sakra,天龍八部之喬峰傳,990140,cn,"Qiao Feng is the respected leader of a roving band of martial artists. After he is wrongfully accused of murder and subsequently exiled, Qiao Feng goes on the run in search of answers about his own mysterious origin story—and the unknown enemies working to destroy him from the shadows.","[28, 18]",54.916,2023-01-16,6.6,132
Consecration,Consecration,884184,en,"After the alleged suicide of her priest brother, Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account, she uncovers murder, sacrilege and a disturbing truth about herself.","[27, 53]",41.669,2023-02-09,5.7,121
Blood & Gold,Blood & Gold,1098110,de,"At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure.","[28, 18, 10752]",46.373,2023-04-21,6.7,310
See You on Venus,See You on Venus,1122932,en,"Mia and Kyle, two misfit American teens, travel to Spain in search of Mia's birth mother. As the pair road trip through the picturesque cities of Andalusia and fall in love, they discover that the most important question isn't who gave you life, but what you decide to do with it.","[10749, 18]",46.489,2023-07-21,6.9,96
Die Hart,Die Hart,1077280,en,"Kevin Hart - playing a version of himself - is on a death-defying quest to become an action star. And with a little help from John Travolta, Nathalie Emmanuel, and Josh Hartnett - he just might pull it off.","[35, 28, 53]",43.217,2023-02-22,6.0,358
Jericho Ridge,Jericho Ridge,969926,en,"North Washington county sheriff Tabby finds herself alone in the sheriff’s office one night while her colleagues are out on patrol, but she soon finds out they’ve been set up by a murderous drug cartel while she herself comes under siege at the office, where she must battle desperately to save herself and her son.","[28, 53]",34.34,2023-07-14,5.9,16
The Caine Mutiny Court-Martial,The Caine Mutiny Court-Martial,1018332,en,"A naval officer stands trial for mutiny after taking command from a ship's captain he felt was acting in an unstable fashion, endangering both the ship and its crew.","[18, 10752]",35.718,2023-09-03,6.9,26
Haunted Mansion,Haunted Mansion,616747,en,A woman and her son enlist a motley crew of so-called spiritual experts to help rid their home of supernatural squatters.,"[14, 35, 27, 10751]",50.366,2023-07-26,6.6,820
Cats in the Museum,Коты Эрмитажа,923579,ru,A cartoon about the famous four-legged inhabitants of the St. Petersburg Winter Palace - museum cats that protect the territory of the State Hermitage from rats and mice.,"[16, 35, 10751, 14]",44.582,2023-03-23,7.2,38
Thriller 40,Thriller 40,1031774,en,"Forty years after the release of Michael Jackson’s ‘Thriller,’ the best-selling album of all-time, director Nelson George takes fans back in time to the making of a pop masterpiece, featuring never-before-seen footage and candid interviews.","[99, 10402]",37.245,2023-12-02,8.4,34
Epic Tails,Pattie et la colère de Poséidon,939338,fr,"An adventurous mouse sets off to battle dangerous creatures in Ancient Greece, including Poseidon.","[16, 12, 14, 10751, 35]",48.196,2023-01-25,6.8,55
Forever RBD,Por Siempre RBD,1219559,es,"The most successful Mexican pop group in decades returns after a successful tour of the United States, Colombia and Brazil to share not only their greatest hits, but an intimate, behind-the-scenes look at what the RBD reunion means to them.","[10402, 99]",34.832,2023-12-25,8.6,22
The Three Musketeers,The Three Musketeers,1073140,en,"France is in turmoil and a new, naive King finds himself manipulated by the evil Cardinal Richelieu. With a corrupt commander of the royal guard by his side the Cardinal employs the expertise of the devious and wicked Milady de Winter in a plot to bring down the monarchy and drag the country into war. As France burns the Cardinal will take control. All that stands between them and victory are the remnants of an elite group who wore loyalty to crown and country. Above all else The Musketeers will stand against the odds to foil this deadly plot.","[28, 12]",36.176,2023-03-23,5.5,71
Fingernails,Fingernails,790459,en,Anna and Ryan have found true love together. It’s been proven by a controversial test. There’s just one problem: Anna still isn’t sure. Then she meets Amir.,"[10749, 878, 18]",27.282,2023-10-27,6.0,96
Me he hecho viral,Me he hecho viral,1064098,es,"Mabel has gone viral. And in the least desirable way possible. During her flight to Polynesia, she unlocks her sleeping husband's cell phone with innocent intent, but what she finds is proof of infidelity.",[35],37.233,2023-10-11,6.1,35
Awareness,Awareness,1067820,es,"Ian is a teenager who lives with his father on the outskirts by running small scams using Ian's ability to generate visual illusions upon unsuspecting victims. When one of his cons goes awry, his abilities publicly spiral out of control and Ian becomes the target of two rival organizations, each seeking to exploit his powers.","[878, 9648, 53, 28]",54.758,2023-03-16,5.8,122
Transfusion,Transfusion,842544,en,"Ryan Logan, a former Special Forces operative, is battling to cope with life after the loss of his wife.  He is thrusted into the criminal underworld to keep his only son from being taken from him.","[80, 28, 18]",59.446,2023-01-05,6.1,219
The Magician's Elephant,The Magician's Elephant,776835,en,"Peter is searching for his long-lost sister when he crosses paths with a fortune teller in the market square. His only question is: is his sister still alive? The answer, that he must find a mysterious elephant and the magician who will conjure it, sets Peter off on a journey to complete three seemingly impossible tasks that will change the face of his town forever.","[16, 12, 10751, 14, 35]",39.188,2023-03-10,7.0,176
Sasaki and Miyano: Graduation,映画 佐々木と宮野ー卒業編ー,998731,ja,"Miyano’s world of Boys’ Love manga turns to reality when chance leads him to Sasaki. Now, Sasaki wants to spend every opportunity with him.","[16, 10749]",43.669,2023-02-17,5.7,27
Disco Inferno,Disco Inferno,1191902,en,A young couple conjures a dark presence that hungers for their unborn baby as they prepare to burn up the dance floor at LA's hottest disco.,[27],61.04,2023-10-20,5.7,24
Dumb Money,Dumb Money,792293,en,"Vlogger Keith Gill sinks his life savings into GameStop stock and posts about it. When social media starts blowing up, so do his life and the lives of everyone following him. As a stock tip becomes a movement, everyone gets rich—until the billionaires fight back, and both sides find their worlds turned upside down.","[35, 18, 36]",40.005,2023-09-15,6.7,198
Sanctuary,Sanctuary,870518,en,"Confined to a claustrophobic hotel room, the heir to a hotel empire and the dominatrix who has primed him for success become locked in a battle of wits and wills as he tries to end his relationship with her.",[53],45.301,2023-04-06,6.2,118
Fallen Leaves,Kuolleet lehdet,986280,fi,"The story of two lonely people who meet each other by chance in the Helsinki night and try to find the first, only, and ultimate love of their lives. Their path towards this honorable goal is clouded by the man's alcoholism, lost phone numbers, not knowing each other's names or addresses, and life's general tendency to place obstacles in the way of those seeking their happiness.","[35, 18, 10749]",42.5,2023-09-14,7.1,141
The Burial,The Burial,763165,en,"When a handshake deal goes sour, funeral home owner Jeremiah O'Keefe enlists charismatic, smooth-talking attorney Willie E. Gary to save his family business. Tempers flare and laughter ensues as the unlikely pair bond while exposing corporate corruption and racial injustice.","[35, 18]",45.558,2023-10-06,7.3,311
Snoopy Presents: One-of-a-Kind Marcie,Snoopy Presents: One-of-a-Kind Marcie,1128604,en,"Quiet, kindhearted introvert Marcie has lots of brilliant ideas to help her friends achieve goals and solve problems. But when the world takes notice and the spotlight lands on her, sharing those ideas becomes a challenge.","[16, 10751]",41.882,2023-08-17,8.1,19
Sayen,Sayen,850871,es,"Sayen is hunting down the men who murdered her grandmother. Using her training and knowledge of nature, she is able to turn the tables on them, learning of a conspiracy from a corporation that threatens her people's ancestral lands.","[28, 12]",37.553,2023-03-03,6.2,96
BlackBerry,BlackBerry,1016084,en,Two mismatched entrepreneurs – egghead innovator Mike Lazaridis and cut-throat businessman Jim Balsillie – joined forces in an endeavour that was to become a worldwide hit in little more than a decade. The story of the meteoric rise and catastrophic demise of the world's first smartphone.,"[18, 36]",39.05,2023-02-13,7.2,304
Holiday in the Vineyards,Holiday in the Vineyards,1189733,en,A widow struggling to keep the local vineyard and raising her two young boys may be in store for a Christmas miracle when she falls for a big city playboy sent to get intel on a prospective vineyard for sale.,"[10749, 18]",33.994,2023-12-13,6.4,13
The Tutor,The Tutor,995012,en,"When a professional tutor takes a job at a remote manor, he soon finds himself battling his disturbed student’s obsessions, which threaten to expose his darkest secrets and unravel his carefully crafted persona.","[9648, 53, 28]",45.909,2023-03-24,6.4,68
Monster,怪物,1050035,ja,"When her young son Minato starts to behave strangely, his mother feels that there is something wrong. Discovering that a teacher is responsible, she storms into the school demanding to know what's going on. But as the story unfolds through the eyes of mother, teacher and child, the truth gradually emerges.","[18, 53]",58.737,2023-06-02,8.2,58
